latitude,longitude,mean_solar_incidence_kwh_m2_per_hour,rank
45.7,8.5,1.912788718046448,466
46.0,5.8,1.9126062802459018,467
46.7,7.8,1.912535720273224,468
46.9,8.9,1.9124893724043714,469
45.7,9.0,1.9121843489726777,470
46.1,6.3,1.911542707021858,471
46.1,6.2,1.9110762421748633,472
45.8,8.4,1.910392336748634,473
45.8,9.4,1.9102759459153005,474
46.1,6.1,1.9098823954098358,475
46.2,6.6,1.9098645847814208,476
45.7,8.9,1.9094006148360654,477
45.7,8.8,1.9075326925136613,478
46.1,6.0,1.9074636519016392,479
45.7,8.6,1.9072814081830605,480
47.2,10.4,1.9071871798087432,481
47.1,10.0,1.906971058169399,482
46.9,8.8,1.9069446586885246,483
46.7,7.7,1.9065131437978144,484
45.8,9.3,1.9065014200546446,485
46.9,9.0,1.9064546738797814,486
46.5,7.1,1.9063852540710384,487
46.3,6.8,1.9060614290710383,488
47.0,9.8,1.905999393087432,489
45.7,8.7,1.9056173390710383,490
46.1,9.3,1.9049763250819671,491
46.9,9.6,1.9040523677868852,492
46.1,5.9,1.9032769207923497,493
46.2,6.5,1.903128999781421,494
46.2,9.1,1.902917913032787,495
45.8,9.2,1.9024995373360658,496
45.9,9.5,1.9020325720765026,497
46.0,9.4,1.9012485040163936,498
46.8,8.2,1.900259607240437,499
46.9,9.5,1.9001004618579234,500
46.1,5.8,1.8993680787978142,501
46.6,7.2,1.8990590945355195,502
45.8,9.1,1.8984564791666667,503
45.8,8.5,1.8983422354234973,504
46.9,9.1,1.8983157019125685,505
46.2,6.4,1.897982802786885,506
46.4,6.9,1.8977020833606557,507
46.9,8.7,1.8976590871311476,508
46.9,9.4,1.896703132568306,509
46.3,6.7,1.8964778887978142,510
46.2,8.6,1.8962242267213114,511
46.2,9.0,1.8961877756010925,512
46.1,9.2,1.895736644453552,513
45.8,9.0,1.8952057594808742,514
45.9,8.5,1.8949901266939888,515
47.2,10.3,1.8948011894535521,516
46.2,6.3,1.894751980956284,517
46.2,6.2,1.8947517504644809,518
46.2,6.1,1.894736011953552,519
45.9,9.4,1.894295247295082,520
47.1,9.9,1.8934697838251364,521
46.2,6.0,1.8933510990983606,522
45.8,8.9,1.8929706319808743,523
46.7,7.6,1.892662935327869,524
46.1,8.6,1.8926601897814208,525
46.2,8.9,1.8924718402459018,526
46.3,6.6,1.8920493186885243,527
46.9,9.3,1.892032037377049,528
45.8,8.6,1.8918431632786885,529
45.8,8.8,1.8914206248360654,530
46.9,8.6,1.8901870050546448,531
46.2,5.9,1.8900289301912572,532
46.0,8.6,1.889691286557377,533
46.5,7.0,1.8895448899836065,534
45.8,8.7,1.8895063734153006,535
45.9,9.3,1.8894830955737707,536
46.2,8.8,1.8893173454371583,537
46.1,9.1,1.888800900628415,538
46.2,8.7,1.8885247734153003,539
46.9,9.2,1.8884415793442622,540
47.0,9.7,1.8878609703825138,541
46.9,8.5,1.887832423661202,542
46.0,9.3,1.887168450956284,543
46.2,5.8,1.8863781241530055,544
46.6,7.1,1.8860613168579234,545
46.7,7.4,1.8859721148770492,546
45.9,9.2,1.8855510691967214,547
46.3,6.5,1.8854066315464477,548
46.1,9.0,1.8851703117486338,549
46.7,7.5,1.8846826865846995,550
47.2,10.2,1.884367279644809,551
46.7,7.3,1.8838403878142076,552
46.1,8.9,1.8833720590710379,553
46.0,9.2,1.8829114394535518,554
45.9,9.1,1.8815997980765025,555
46.8,8.1,1.8813545441803277,556
46.1,8.7,1.881339485491803,557
46.4,6.8,1.8810959019125684,558
46.1,8.8,1.8808422001912568,559
46.3,6.4,1.8802586895355191,560
45.9,8.6,1.880112350601093,561
46.3,5.9,1.8794039287978141,562
46.3,6.0,1.8793506407650273,563
46.0,9.1,1.8789250388251364,564
46.9,8.4,1.878664574535519,565
46.3,6.1,1.8784599890437157,566
47.3,10.6,1.8782354420765028,567
45.9,9.0,1.8779926869672132,568
